Absolute Path,Relative Path,Amplitude range
C:\don't system\study\application_programming\application-programming-labs-2025\lab2\Downloads\trumpet\trumpet.0.mp3,Downloads\trumpet\trumpet.0.mp3,1.84-1.97
C:\don't system\study\application_programming\application-programming-labs-2025\lab2\Downloads\trumpet\trumpet.1.mp3,Downloads\trumpet\trumpet.1.mp3,1.44-1.57
C:\don't system\study\application_programming\application-programming-labs-2025\lab2\Downloads\trumpet\trumpet.2.mp3,Downloads\trumpet\trumpet.2.mp3,1.84-1.97
C:\don't system\study\application_programming\application-programming-labs-2025\lab2\Downloads\ukulele\ukulele.0.mp3,Downloads\ukulele\ukulele.0.mp3,1.04-1.17
C:\don't system\study\application_programming\application-programming-labs-2025\lab2\Downloads\ukulele\ukulele.1.mp3,Downloads\ukulele\ukulele.1.mp3,1.84-1.97
C:\don't system\study\application_programming\application-programming-labs-2025\lab2\Downloads\harp\harp.0.mp3,Downloads\harp\harp.0.mp3,1.84-1.97
C:\don't system\study\application_programming\application-programming-labs-2025\lab2\Downloads\harp\harp.1.mp3,Downloads\harp\harp.1.mp3,1.04-1.17
C:\don't system\study\application_programming\application-programming-labs-2025\lab2\Downloads\harp\harp.2.mp3,Downloads\harp\harp.2.mp3,1.57-1.71
